teamID,teamMultiID,teamName,category,topPlayerIDTrait,junglePlayerIDTrait,midPlayerIDTrait,adPlayerIDTrait,supPlayerIDTrait,managerSet,match,win,rateVsPoint,coach0,coach1,coach2
1000000,,KT,18K,11011000000000.0,11012000000000.0,11013000000000.0,11014000000000.0,11015000000000.0,100411111,0,0,0,,,
1000001,,그리핀,18K,11031000000000.0,11032000000000.0,11033000000000.0,11034000000000.0,11035000000000.0,100411111,0,0,0,,,
1000002,,아프리카,18K,11021000000000.0,11022000000000.0,11023000000000.0,11024000000000.0,11025000000000.0,100411111,0,0,0,,,
1000003,,킹존,18K,11041000000000.0,11042000000000.0,11043000000000.0,11044000000000.0,11045000000000.0,100411111,0,0,0,,,
1000004,,젠지,18K,11051000000000.0,11052000000000.0,11053000000000.0,11054000000000.0,11055000000000.0,100411111,0,0,0,,,
1000005,,한화,18K,11061000000000.0,11062000000000.0,11063000000000.0,11064000000000.0,11065000000000.0,100411111,0,0,0,,,
1000006,,SKT,18K,11071000000000.0,11072000000000.0,11073000000000.0,11074000000000.0,11075000000000.0,100411111,0,0,0,,,
1000007,,진에어,18K,11081000000000.0,11082000000000.0,11083000000000.0,11084000000000.0,11085000000000.0,100411111,0,0,0,,,
1000008,,MVP,18K,11091000000000.0,11092000000000.0,11093000000000.0,11094000000000.0,11095000000000.0,100411111,0,0,0,,,
1000009,,BBQ,18K,11101000000000.0,11102000000000.0,11103000000000.0,11104000000000.0,11105000000000.0,100411111,0,0,0,,,
1000100,,SKT,19SK,20001000000000.0,20002000000000.0,20003000000000.0,20004000000000.0,20005000000000.0,100411111,0,0,0,,,
1000101,,그리핀,19SK,12031000000000.0,12032000000000.0,12033000000000.0,12034000000000.0,12035000000000.0,100411111,0,0,0,,,
1000102,,킹존,19SK,12041000000000.0,12042000000000.0,12043000000000.0,12044000000000.0,12045000000000.0,100411111,0,0,0,,,
1000103,,담원,19SK,12091000000000.0,12092000000000.0,12093000000000.0,12094000000000.0,12095000000000.0,100411111,0,0,0,,,
1000104,,샌드박스,19SK,12101000000000.0,12102000000000.0,12103000000000.0,12104000000000.0,12105000000000.0,100411111,0,0,0,,,
1000105,,한화,19SK,12061000000000.0,12062000000000.0,12063000000000.0,12064000000000.0,12065000000000.0,100411111,0,0,0,,,
1000106,,젠지,19SK,12051000000000.0,12052000000000.0,12053000000000.0,12054000000000.0,12055000000000.0,100411111,0,0,0,,,
1000107,,아프리카,19SK,12021000000000.0,12022000000000.0,12023000000000.0,12024000000000.0,12025000000000.0,100411111,0,0,0,,,
1000108,,KT,19SK,12011000000000.0,12012000000000.0,12013000000000.0,12014000000000.0,12015000000000.0,100411111,0,0,0,,,
1000109,,진에어,19SK,12081000000000.0,12082000000000.0,12083000000000.0,12084000000000.0,12085000000000.0,100411111,0,0,0,,,
1000200,,SKT,19MK,20201000000000.0,20202000000000.0,20203000000000.0,20204000000000.0,20205000000000.0,100411111,0,0,0,,,
1000201,,그리핀,19MK,20206000000000.0,20207000000000.0,20208000000000.0,20209000000000.0,20210000000000.0,100411111,0,0,0,,,
1000202,,담원,19MK,20211000000000.0,20212000000000.0,20213000000000.0,20214000000000.0,20215000000000.0,100411111,0,0,0,,,
1000203,,샌드박스,19MK,20101000000000.0,13102000000000.0,20106000000000.0,13104000000000.0,13105000000000.0,100411111,0,0,0,,,
1000204,,아프리카,19MK,13021000000000.0,20104000000000.0,13023000000000.0,20108000000000.0,13025000000000.0,100411111,0,0,0,,,
1000205,,젠지,19MK,13051000000000.0,13052000000000.0,13053000000000.0,20109000000000.0,13055000000000.0,100411111,0,0,0,,,
1000206,,킹존,19MK,20102000000000.0,13042000000000.0,13043000000000.0,13044000000000.0,20110000000000.0,100411111,0,0,0,,,
1000207,,KT,19MK,13011000000000.0,13012000000000.0,20107000000000.0,13014000000000.0,13015000000000.0,100411111,0,0,0,,,
