UID,Top_Lane,Top_Team,Top_Oper,Jun_Lane,Jun_Team,Jun_Oper,Mid_Lane,Mid_Team,Mid_Oper,AD_Lane,AD_Team,AD_Oper,Sup_Lane,Sup_Team,Sup_Oper,Total_Lane,Total_Team,Total_Oper,AVG_Lane,AVG_Team,AVG_Oper
Ni3iIkl153hVbBramJaMmf9j2dJ2,16,14,35,16,14,35,16,14,35,16,14,35,16,14,35,80,70,175,38.73267327,40.05940594,66.87128713
260kRKDW6eRY2OLJOkSNBEEucsm1,16,49,0,16,49,0,16,25,24,16,29,20,16,49,0,80,201,44,,,
NyaNVcjPkLNPCSJ15pFd0JJT8mc2,16,0,49,18,0,49,16,0,49,16,0,49,16,0,49,82,0,245,,,
MRPnArw0YwbhfM0pBWrQf513FbM2,10,0,32,11,0,33,11,0,33,11,0,34,11,0,34,54,0,166,,,
CadC8NUKRiNSA97ioId3qvmINuG3,6,11,8,8,8,12,6,9,10,7,10,10,6,8,10,33,46,50,,,
TWoWKKLDETOgvf8PrR1bY9iekqk1,10,20,10,10,25,7,10,9,22,10,17,15,10,12,15,50,83,69,,,
6gdT9HL9MLbTwNc5lqYKPn062ua2,16,3,41,16,3,38,16,0,49,16,1,35,16,0,47,80,7,210,,,
YhbRfXKpt7YfMBlyeFdJJXHyXVG2,16,0,47,16,6,43,16,2,46,16,0,47,16,2,45,80,10,228,,,
6OZ135eUYdh7464olpk9zGlbJpx1,11,35,0,13,35,0,12,36,0,12,35,0,12,35,0,60,176,0,,,
QQSmes6NwNQLhL8Sfe5mlsBsSG93,5,0,16,5,0,16,5,0,16,5,0,16,5,0,16,25,0,80,,,
AWZB7XVGGBgEU7bDg1Rg0M2dTFt1,4,6,7,0,0,0,4,0,15,0,0,0,0,0,0,8,6,22,,,
1YcHSlWXg1T0Vodmooh9Kt78JRF2,6,9,9,5,0,1,5,3,7,5,7,1,6,6,6,27,25,24,,,
cbxPxA9iNgXtd8PXsIBEHuhaY4G2,14,5,20,13,0,16,13,9,20,13,11,20,13,3,24,66,28,100,,,
jX5q4m8ILmd32RvDfwGSlcMayL92,6,3,15,5,0,13,5,0,12,10,3,18,5,2,15,31,8,73,,,
MeE3IHfa4Eal07LcJeYYswZy0tu1,6,0,20,6,0,19,6,0,20,6,0,20,6,1,19,30,1,98,,,
eKKVmPCekxMF4sHdc5sLpTskAtu1,5,0,15,4,0,14,4,0,15,4,0,15,5,0,15,22,0,74,,,
DQ6u2dq6zDgluv2vKwAMMPv1xyY2,12,2,32,12,4,31,13,3,35,13,4,26,13,4,26,63,17,150,,,
ab2APZqEDPgIijsobH7k0ziFVyB2,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,20,0,65,,,
sr2tMnXoDld16cNx6lzgyLAJkeG2,9,15,7,12,14,6,9,3,4,10,7,1,10,16,14,50,55,32,,,
ht7fWOUr3GR6jGwv3z7YpzEaHL23,16,0,49,16,0,49,16,0,49,16,0,49,16,0,49,80,0,245,,,
nJGnPIbFSmWYd2YIyeCHbxtUSlg2,11,7,14,11,14,20,10,13,14,11,21,13,11,14,19,54,69,80,,,
WcMG9XNzzIaDrHNwPJmpLmcE1Ir2,10,16,15,16,26,23,11,17,15,10,17,15,10,2,1,57,78,69,,,
YAJ34KqUOCNOLhJSwV6WvNcBO5f2,10,31,0,10,31,0,10,31,0,10,33,0,10,32,0,50,158,0,,,
w1UoD9oOwQSLSkImGTUJINRvdnv1,16,31,18,16,36,11,16,38,10,16,32,16,16,32,15,80,169,70,,,
qMgZL1G34FfsmLtvhfNNuG6HTcD3,3,9,0,2,9,0,4,5,5,0,0,0,3,9,0,12,32,5,,,
qvOUmI781JZqKJoUuanEIqqVLDD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
mypfYoOs3tVdPpS9AbNyc4CUYsm2,2,4,0,0,0,0,1,2,4,2,6,0,1,2,0,6,14,4,,,
JiKe72HrGATUAHsMsnGR93s3lkd2,13,40,0,8,23,0,11,32,0,6,20,0,13,41,0,51,156,0,,,
uykbOCmVkdNHDlgyHZkhyfl2HHG2,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,20,0,65,,,
aJgMhnP2ypaZz4KNncYbhn0HbUM2,2,0,6,2,1,5,2,4,3,2,4,3,2,2,0,10,11,17,,,
Z8nZvkkCL9PPrKU53ueamkqCCeo2,8,5,21,8,5,20,8,9,16,8,6,18,8,9,16,40,34,91,,,
pMekX0LF3oZ82gy5JnXjOJVEi9a2,6,4,6,4,4,4,6,11,1,7,11,2,3,11,1,26,41,14,,,
KSCtdTXOAhSpw73wUNkRlUfAJy23,5,8,9,5,7,3,5,8,9,5,6,7,6,4,2,26,33,30,,,
PFntqhnBWtRfTIanjFEzRS3rnuR2,9,9,19,9,9,19,9,10,17,9,10,18,9,9,18,45,47,91,,,
n1fPHXpG09dLfHCm0noQ9wCSmPu1,7,3,20,7,9,0,8,21,3,8,19,6,6,8,0,36,60,29,,,
